Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,1u,C_0402_1005Metric,167.15,-88.64,-90.0,top
C2,22pF,C_0402_1005Metric,146.875,-105.3,90.0,top
C3,22pF,C_0402_1005Metric,152.45,-104.425,-90.0,top
C4,1u,C_0402_1005Metric,161.3,-89.900001,90.0,top
C5,100n,C_0402_1005Metric,131.46,-93.34,0.0,top
C6,100n,C_0402_1005Metric,154.425,-102.145,-90.0,top
C7,100n,C_0402_1005Metric,148.59,-87.45,90.0,top
C8,1u,C_0402_1005Metric,154.0,-88.63,90.0,top
C9,100n,C_0402_1005Metric,156.517461,-91.285933,90.0,top
C10,1u,C_0402_1005Metric,154.97,-88.63,90.0,top
C11,100n,C_0402_1005Metric,155.517461,-91.285933,90.0,top
C12,100n,C_0402_1005Metric,157.49,-96.4,0.0,top
C13,100n,C_0402_1005Metric,153.3,-102.15,-90.0,top
C14,100n,C_0402_1005Metric,145.6,-96.0,180.0,top
C15,100n,C_0402_1005Metric,149.615,-87.464974,90.0,top
C16,100n,C_0402_1005Metric,145.35,-91.675,180.0,top
C17,10u,C_0402_1005Metric,159.81625,-89.900001,90.0,top
D1,1N4148W,D_SOD-123,41.404,-67.675,90.0,top
D2,1N4148W,D_SOD-123,41.404,-86.675,90.0,top
D3,1N4148W,D_SOD-123,41.404,-105.675,90.0,top
D4,1N4148W,D_SOD-123,41.404,-124.675,90.0,top
D5,1N4148W,D_SOD-123,60.404,-67.675,90.0,top
D6,1N4148W,D_SOD-123,60.404,-86.675,90.0,top
D7,1N4148W,D_SOD-123,60.404,-105.675,90.0,top
D8,1N4148W,D_SOD-123,60.404,-124.675,90.0,top
D9,1N4148W,D_SOD-123,79.404,-67.675,90.0,top
D10,1N4148W,D_SOD-123,79.404,-86.675,90.0,top
D11,1N4148W,D_SOD-123,79.404,-105.675,90.0,top
D12,1N4148W,D_SOD-123,79.404,-124.675,90.0,top
D13,1N4148W,D_SOD-123,98.404,-67.675,90.0,top
D14,1N4148W,D_SOD-123,98.404,-86.675,90.0,top
D15,1N4148W,D_SOD-123,98.404,-105.675,90.0,top
D16,1N4148W,D_SOD-123,98.404,-124.675,90.0,top
D17,1N4148W,D_SOD-123,117.404,-67.675,90.0,top
D18,1N4148W,D_SOD-123,117.404,-86.675,90.0,top
D19,1N4148W,D_SOD-123,117.404,-105.675,90.0,top
D20,1N4148W,D_SOD-123,117.404,-124.675,90.0,top
D21,1N4148W,D_SOD-123,132.5,-70.0,90.0,top
D22,1N4148W,D_SOD-123,133.0,-78.54,-90.0,top
D23,1N4148W,D_SOD-123,128.58,-106.81,90.0,top
D24,1N4148W,D_SOD-123,141.67,-124.39,-90.0,top
D25,1N4148W,D_SOD-123,173.2,-71.58,180.0,top
D26,1N4148W,D_SOD-123,157.198814,-77.049228,180.0,top
D27,1N4148W,D_SOD-123,152.91,-111.55,90.0,top
D28,1N4148W,D_SOD-123,174.404,-67.675,90.0,top
D29,1N4148W,D_SOD-123,174.404,-86.675,90.0,top
D30,1N4148W,D_SOD-123,174.404,-105.675,90.0,top
D31,1N4148W,D_SOD-123,174.404,-124.675,90.0,top
D32,1N4148W,D_SOD-123,193.404,-67.675,90.0,top
D33,1N4148W,D_SOD-123,193.404,-86.675,90.0,top
D34,1N4148W,D_SOD-123,193.404,-105.675,90.0,top
D35,1N4148W,D_SOD-123,193.404,-124.675,90.0,top
D36,1N4148W,D_SOD-123,212.404,-67.675,90.0,top
D37,1N4148W,D_SOD-123,212.404,-86.675,90.0,top
D38,1N4148W,D_SOD-123,212.404,-105.675,90.0,top
D39,1N4148W,D_SOD-123,212.404,-124.675,90.0,top
D40,1N4148W,D_SOD-123,231.404,-67.675,90.0,top
D41,1N4148W,D_SOD-123,231.404,-86.675,90.0,top
D42,1N4148W,D_SOD-123,231.404,-105.675,90.0,top
D43,1N4148W,D_SOD-123,231.404,-124.675,90.0,top
D44,1N4148W,D_SOD-123,250.404,-67.675,90.0,top
D45,1N4148W,D_SOD-123,250.404,-86.675,90.0,top
D46,1N4148W,D_SOD-123,250.404,-105.675,90.0,top
D47,1N4148W,D_SOD-123,250.404,-124.675,90.0,top
F1,500mA,Fuse_1206_3216Metric,161.5,-61.5,0.0,top
J1,TYPE-C-31-M-12,USB_C_Receptacle_Hroparts_TYPE-C-31-M-12,152.0,-62.1,180.0,top
LED1,LED_RGB_WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,209.0,-76.0,180.0,top
LED2,LED_RGB_WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,247.0,-95.0,0.0,top
LED3,LED_RGB_WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,209.0,-114.0,0.0,top
LED4,LED_RGB_WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,95.0,-114.0,0.0,top
LED5,LED_RGB_WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,57.0,-95.0,180.0,top
LED6,LED_RGB_WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,95.0,-76.0,0.0,top
R1,1k,C_0402_1005Metric,139.12,-93.78,-90.0,top
R2,10k,C_0402_1005Metric,138.13,-93.77,90.0,top
R3,27,C_0603_1608Metric,151.25,-88.06,-90.0,top
R4,27,C_0603_1608Metric,152.75,-88.06,-90.0,top
R5,1k,C_0402_1005Metric,150.575,-101.65,-90.0,top
R6,5.1k,R_0402_1005Metric,153.851475,-62.940945,180.0,top
R7,5.1k,R_0402_1005Metric,149.222688,-62.855349,180.0,top
SW1,MX Switch,MX100H-alt,47.5,-66.5,0.0,top
SW2,MX Switch,MX100H-alt,47.5,-85.5,0.0,top
SW3,MX Switch,MX100H-alt,47.5,-104.5,0.0,top
SW4,MX Switch,MX100H-alt,47.5,-123.5,0.0,top
SW5,MX Switch,MX100H-alt,66.5,-66.5,0.0,top
SW6,MX Switch,MX100H-alt,66.5,-85.5,0.0,top
SW7,MX Switch,MX100H-alt,66.5,-104.5,0.0,top
SW8,MX Switch,MX100H-alt,66.5,-123.5,0.0,top
SW9,MX Switch,MX100H-alt,85.5,-66.5,0.0,top
SW10,MX Switch,MX100H-alt,85.5,-85.5,0.0,top
SW11,MX Switch,MX100H-alt,85.5,-104.5,0.0,top
SW12,MX Switch,MX100H-alt,85.5,-123.5,0.0,top
SW13,MX Switch,MX100H-alt,104.5,-66.5,0.0,top
SW14,MX Switch,MX100H-alt,104.5,-85.5,0.0,top
SW15,MX Switch,MX100H-alt,104.5,-104.5,0.0,top
SW16,MX Switch,MX100H-alt,104.5,-123.5,0.0,top
SW17,MX Switch,MX100H-alt,123.5,-66.5,0.0,top
SW18,MX Switch,MX100H-alt,123.5,-85.5,0.0,top
SW19,MX Switch,MX100H-alt,123.5,-104.5,0.0,top
SW20,MX Switch,MX100H-alt,123.5,-123.5,0.0,top
SW21,MX Switch,MX100H-alt,142.5,-66.5,180.0,top
SW22,MX Switch,MX100H-alt,142.5,-85.5,0.0,top
SW23,MX Switch,MX100H-alt,142.5,-104.5,180.0,top
SW24,MX Switch,MX200H-alt,152.0,-123.5,180.0,top
SW25,MX Switch,MX100H-alt,161.5,-66.5,180.0,top
SW26,MX Switch,MX100H-alt,161.5,-85.5,0.0,top
SW27,MX Switch,MX100H-alt,161.5,-104.5,180.0,top
SW28,MX Switch,MX100H-alt,180.5,-66.5,0.0,top
SW29,MX Switch,MX100H-alt,180.5,-85.5,0.0,top
SW30,MX Switch,MX100H-alt,180.5,-104.5,0.0,top
SW31,MX Switch,MX100H-alt,180.5,-123.5,0.0,top
SW32,MX Switch,MX100H-alt,199.5,-66.5,0.0,top
SW33,MX Switch,MX100H-alt,199.5,-85.5,0.0,top
SW34,MX Switch,MX100H-alt,199.5,-104.5,0.0,top
SW35,MX Switch,MX100H-alt,199.5,-123.5,0.0,top
SW36,MX Switch,MX100H-alt,218.5,-66.5,0.0,top
SW37,MX Switch,MX100H-alt,218.5,-85.5,0.0,top
SW38,MX Switch,MX100H-alt,218.5,-104.5,0.0,top
SW39,MX Switch,MX100H-alt,218.5,-123.5,0.0,top
SW40,MX Switch,MX100H-alt,237.5,-66.5,0.0,top
SW41,MX Switch,MX100H-alt,237.5,-85.5,0.0,top
SW42,MX Switch,MX100H-alt,237.5,-104.5,0.0,top
SW43,MX Switch,MX100H-alt,237.5,-123.5,0.0,top
SW44,MX Switch,MX100H-alt,256.5,-66.5,0.0,top
SW45,MX Switch,MX100H-alt,256.5,-85.5,0.0,top
SW46,MX Switch,MX100H-alt,256.5,-104.5,0.0,top
SW47,MX Switch,MX100H-alt,256.5,-123.5,0.0,top
SW48,SW_MEC_5E,SMD-SW-4_5.1x5.1x1.5,190.0,-94.0,0.0,top
SW49,SW_MEC_5E,SMD-SW-4_5.1x5.1x1.5,182.5,-94.0,0.0,top
U1,XC6206P332MR,SOT-23,164.2875,-89.425,0.0,top
U2,W25Q128JVS,SOIC-8_5.23x5.23mm_P1.27mm,135.027401,-89.915929,180.0,top
U3,RP2040,RP2040-QFN-56,150.8,-95.0,0.0,top
U4,SRV05-4,SOT-23-6,152.0,-65.5,0.0,top
Y1,12MHz,Crystal_SMD_3225-4Pin_3.2x2.5mm,149.5,-104.5,180.0,top
